modelo,fpr,tpr,umbral
Naive Bayes complementario,0.08860759493670886,0.6743119266055045,0.5800419803871777
Naive Bayes complementario,0.08860759493670886,0.6773700305810397,0.577801458733664
Naive Bayes complementario,0.08975834292289989,0.6773700305810397,0.5772866714896054
Naive Bayes complementario,0.08975834292289989,0.6788990825688074,0.5763724612599644
Naive Bayes complementario,0.09090909090909091,0.6788990825688074,0.5757094114648614
Naive Bayes complementario,0.09090909090909091,0.6804281345565749,0.5754273011003856
Naive Bayes complementario,0.09205983889528194,0.6804281345565749,0.573481889415156
Naive Bayes complementario,0.09205983889528194,0.6850152905198776,0.5727661510587634
Naive Bayes complementario,0.09436133486766399,0.6850152905198776,0.5707582159271324
Naive Bayes complementario,0.09436133486766399,0.6896024464831805,0.5664256902288483
Naive Bayes complementario,0.09551208285385501,0.6896024464831805,0.5649570737910982
Naive Bayes complementario,0.09551208285385501,0.691131498470948,0.5640750285044464
Naive Bayes complementario,0.09896432681242807,0.691131498470948,0.5605942480711464
Naive Bayes complementario,0.09896432681242807,0.6926605504587156,0.5602237090568389
Naive Bayes complementario,0.1001150747986191,0.6926605504587156,0.5555624061542371
Naive Bayes complementario,0.1001150747986191,0.6972477064220184,0.5494226633953586
Naive Bayes complementario,0.10126582278481013,0.6972477064220184,0.5485477622916548
Naive Bayes complementario,0.10126582278481013,0.7003058103975535,0.5484342531427485
Naive Bayes complementario,0.10356731875719218,0.7003058103975535,0.5476571533978625
Naive Bayes complementario,0.10356731875719218,0.7018348623853211,0.5476565017648295
Naive Bayes complementario,0.1047180667433832,0.7018348623853211,0.5467365760532259
Naive Bayes complementario,0.1047180667433832,0.7064220183486238,0.5465040668583946
Naive Bayes complementario,0.10586881472957423,0.7064220183486238,0.5459646088835733
Naive Bayes complementario,0.10586881472957423,0.7079510703363915,0.5429531516917425
Naive Bayes complementario,0.10701956271576525,0.7079510703363915,0.541948725357246
Naive Bayes complementario,0.10701956271576525,0.709480122324159,0.5403410164297502
Naive Bayes complementario,0.11047180667433831,0.709480122324159,0.5397825895874448
Naive Bayes complementario,0.11277330264672036,0.709480122324159,0.5372338388049815
Naive Bayes complementario,0.11277330264672036,0.7110091743119266,0.5367095891714154
Naive Bayes complementario,0.11392405063291139,0.7110091743119266,0.5351199602325051
Naive Bayes complementario,0.11392405063291139,0.7125382262996942,0.5343955797141887
Naive Bayes complementario,0.11507479861910241,0.7125382262996942,0.532711855110258
Naive Bayes complementario,0.11507479861910241,0.7155963302752294,0.5299003031949903
Naive Bayes complementario,0.11622554660529344,0.7155963302752294,0.5289569429715376
Naive Bayes complementario,0.11622554660529344,0.7186544342507645,0.5276532131693196
Naive Bayes complementario,0.11737629459148446,0.7186544342507645,0.527068494510092
Naive Bayes complementario,0.11737629459148446,0.7201834862385321,0.5258741228570563
Naive Bayes complementario,0.11852704257767549,0.7201834862385321,0.5254718865415368
Naive Bayes complementario,0.11852704257767549,0.7217125382262997,0.524692185335126
Naive Bayes complementario,0.11967779056386652,0.7217125382262997,0.5232217784182647
